local-authority-code_A,local-authority-code_B,distance
SLG,HIL,0.0864243431362504
MOL,EPS,0.08654093231496558
EPS,MOL,0.08654093231496558
NUN,HIN,0.08657265677666884
HIN,NUN,0.08657265677666884
STN,KEC,0.08657315945200326
KEC,STN,0.08657315945200326
STN,HMF,0.08665589971851162
HMF,STN,0.08665589971851162
RDB,EPP,0.08670567110422238
EPP,RDB,0.08670567110422238
WIN,EAT,0.08679565138294733
EAT,WIN,0.08679565138294733
LEE,BNH,0.08688551087051258
BNH,LEE,0.08688551087051258
WLL,BIR,0.08696166448054224
BIR,WLL,0.08696166448054224
WGN,SHN,0.08700833058415691
SHN,WGN,0.08700833058415691
GRE,HCK,0.08702389121220533
HCK,GRE,0.08702389121220533
MRT,CMD,0.08707472505636098
CMD,MRT,0.08707472505636098
DAR,GRA,0.08730866288048429
GRA,DAR,0.08730866288048429
WOI,SPE,0.08758364324984941
SPE,WOI,0.08758364324984941
THE,DAC,0.08758521585692332
DAC,THE,0.08758521585692332
RDB,BEX,0.08772249083267107
BEX,RDB,0.08772249083267107
KTT,EAL,0.0877733926715264
EAL,KTT,0.0877733926715264
BRC,WOK,0.08786098925588649
WOK,BRC,0.08786098925588649
GLG,ERW,0.08803185329901243
ERW,GLG,0.08803185329901243
HAV,RDB,0.08814081446578996
RDB,HAV,0.08814081446578996
REI,CRY,0.0881930610349591
CRY,REI,0.0881930610349591
HNS,HMF,0.08849570604101863
HMF,HNS,0.08849570604101863
BRT,GED,0.08856324980255269
GED,BRT,0.08856324980255269
SPE,SLG,0.08859062898577538
SLG,SPE,0.08859062898577538
BOL,BUR,0.08863722167854124
BUR,BOL,0.08863722167854124
SAL,WEW,0.08870852379013049
WEW,SAL,0.08870852379013049
GRT,SUR,0.08886589096265009
SUR,GRT,0.08886589096265009
HMF,HRY,0.08891456365717171
HRY,HMF,0.08891456365717171
EHE,BRX,0.08898317821268263
BRX,EHE,0.08898317821268263
NGM,RUS,0.08910646289076841
RUS,NGM,0.08910646289076841
MRT,LND,0.0891104268384039
LND,MRT,0.0891104268384039
KEC,KTT,0.0892363030625927
KTT,KEC,0.0892363030625927
CHW,HAL,0.08930295071152368
HAL,CHW,0.08930295071152368
HMF,SWK,0.08934204426808015
SWK,HMF,0.08934204426808015
CRF,CAY,0.08943110686423195
CAY,CRF,0.08943110686423195
WOK,HAT,0.08953167085621734
HAT,WOK,0.08953167085621734
BRX,HRY,0.08986342698979179
HRY,BRX,0.08986342698979179
NWM,ISL,0.08998088989611065
ISL,NWM,0.08998088989611065
ENF,TWH,0.09000521178714871
TWH,ENF,0.09000521178714871
WFT,LEW,0.09003185866715675
LEW,WFT,0.09003185866715675
SUR,WNM,0.09011736791097189
WNM,SUR,0.09011736791097189
BUR,RCH,0.09035086793887978
RCH,BUR,0.09035086793887978
GED,ASH,0.0905205049591993
ASH,GED,0.0905205049591993
GRT,RUN,0.09075254774297285
RUN,GRT,0.09075254774297285
WLV,WLL,0.09082612037858928
WLL,WLV,0.09082612037858928
CHO,WGN,0.0909038891278249
WGN,CHO,0.0909038891278249
AMB,ERE,0.09091164446086161
ERE,AMB,0.09091164446086161
STE,NEC,0.09094226365051762
NEC,STE,0.09094226365051762
WFT,CMD,0.09097356101159694
CMD,WFT,0.09097356101159694
SAL,LUT,0.09108804710300301
LUT,SAL,0.09108804710300301
BRW,THR,0.0911024615254569
THR,BRW,0.0911024615254569
TAN,REI,0.09145549463131629
REI,TAN,0.09145549463131629
FAR,POR,0.09149933018836781
POR,FAR,0.09149933018836781
BNE,EAL,0.09176224758113308
EAL,BNE,0.09176224758113308
BRX,WEW,0.09191650232375796
WEW,BRX,0.09191650232375796
SWK,STN,0.09204355264194039
STN,SWK,0.09204355264194039
THA,DOV,0.0920602692957565
DOV,THA,0.0920602692957565
RUS,GED,0.0923844092340761
GED,RUS,0.0923844092340761
DUD,BRM,0.09250477668927014
BRM,DUD,0.09250477668927014
GRE,LND,0.09282000712280182
LND,GRE,0.09282000712280182
HAR,EHE,0.09291648145106583
EHE,HAR,0.09291648145106583
RUN,ELM,0.09301785424409534
ELM,RUN,0.09301785424409534
TOF,BGW,0.09329561434931401
BGW,TOF,0.09329561434931401
BNE,WEW,0.0934552929774607
WEW,BNE,0.0934552929774607
RED,WYC,0.0934553988874804
WYC,RED,0.0934553988874804
WFT,BDG,0.09346547888076706
BDG,WFT,0.09346547888076706
MAS,GED,0.09351214725340828
GED,MAS,0.09351214725340828
HAO,LCE,0.09371962605160926
LCE,HAO,0.09371962605160926
STN,WSM,0.0938127415057375
WSM,STN,0.0938127415057375
NUN,NWA,0.09393737532552073
NWA,NUN,0.09393737532552073
SPE,RIC,0.09399512808449109
RIC,SPE,0.09399512808449109
NWP,TOF,0.09402898389608091
TOF,NWP,0.09402898389608091
WSM,LEW,0.09418549110550048
LEW,WSM,0.09418549110550048
ENF,WSM,0.09469843988668296
WSM,ENF,0.09469843988668296
KEC,TWH,0.09478716734463308
TWH,KEC,0.09478716734463308
ASH,NGM,0.09479713295745565
NGM,ASH,0.09479713295745565
ISL,BEN,0.09483984241569979
BEN,ISL,0.09483984241569979
BRM,SAW,0.094961583143276
SAW,BRM,0.094961583143276
SEV,BRY,0.09516866175721031
BRY,SEV,0.09516866175721031
CAY,TOF,0.09519523732317814
TOF,CAY,0.09519523732317814
WND,HCK,0.09521576169586482
HCK,WND,0.09521576169586482
BNE,LND,0.09545749547019534
LND,BNE,0.09545749547019534
MAN,BUR,0.09575009980089633
BUR,MAN,0.09575009980089633
HAL,WRT,0.09581626826035178
WRT,HAL,0.09581626826035178
STN,RIC,0.09611528639276172
RIC,STN,0.09611528639276172
BRX,HAR,0.09620711045905525
HAR,BRX,0.09620711045905525
HRY,NWM,0.0962638991975166
NWM,HRY,0.0962638991975166
NWM,BRY,0.0962730548601688
BRY,NWM,0.0962730548601688
BUN,HYN,0.0965559528288275
HYN,BUN,0.0965559528288275
DUD,SST,0.09656717684211834
SST,DUD,0.09656717684211834
HRY,WND,0.09671048402319837
WND,HRY,0.09671048402319837
RIB,HYN,0.09677603604643331
HYN,RIB,0.09677603604643331
PRE,CHO,0.09683328204711268
CHO,PRE,0.09683328204711268
REI,MRT,0.09693797342153697
MRT,REI,0.09693797342153697
WOC,WYC,0.0969942283009294
WYC,WOC,0.0969942283009294
ENF,WEW,0.09703016812419987
WEW,ENF,0.09703016812419987
BNE,HCK,0.09716644862660816
HCK,BNE,0.09716644862660816
HRW,HMF,0.09719496107882022
HMF,HRW,0.09719496107882022
SAL,THE,0.09743555727191976
THE,SAL,0.09743555727191976
RIC,HRW,0.09762924024637125
HRW,RIC,0.09762924024637125
BEN,HRY,0.09766612038031736
HRY,BEN,0.09766612038031736
LEW,BEX,0.09785611906258572
BEX,LEW,0.09785611906258572
CHA,OAD,0.09787153272358358
OAD,CHA,0.09787153272358358
WND,EAL,0.0981236576610966
EAL,WND,0.0981236576610966
WND,TWH,0.09830828236986996
TWH,WND,0.09830828236986996
DAC,LUT,0.09832944209171103
LUT,DAC,0.09832944209171103
SND,NTY,0.09836582719155554
NTY,SND,0.09836582719155554
LND,CRY,0.09839228317928009
CRY,LND,0.09839228317928009
BIR,SOL,0.09863977425823116
SOL,BIR,0.09863977425823116
BRW,BAI,0.09870608089802561
BAI,BRW,0.09870608089802561
