local-authority-code,overlap
MAL,CHL|ROC|ESS|COL|BRA|GLS
BRA,MAL|CHL|BAB|UTT|CAM|COL|SFK|SCA|WSK|GLS
BAI,BRW|CHL|ROC|ESS|THR|CAS|GLS
CAS,ROC|ESS|SOS|BAI|THR|MDW
FOE,TEW|HEF|WOR|STO|MAV|SGC|GLS|MON
STO,GLO|TEW|COT|FOE|SGC|GLS
HAA,POR|CHI|EHA|HAM|WIN|WSX
HER,KEN|HRT|BNE|HRW|WEW|ENF|THE|SAL|WAT
SHE,ROH|LAN|DOV|ASF|ESX|CAT
THA,LAN|CAT|DOV
CAT,SWL|LAN|DOV|ASF|THA|SHE
DOV,THA|LAN|CAT|SHE
SWL,KEN|LAN|ASF|MDW|MAI|CAT
WLA,FYL|LAN|KWL|SHN|SFT|CHO|WGN|SRI
LAC,CMA|LAN|RIB|CRA|NYK|LEC|SLA|WYR
SRI,FYL|LAN|BBD|RIB|PRE|CHO|LEC|WLA
FYL,LAN|PRE|WLA|WYR|BPL|SRI
WYR,FYL|LAC|LAN|RIB|PRE|LEC|BPL
RIB,BUN|LAC|PEN|BBD|CRA|LAN|NYK|PRE|LEC|HYN|WYR|SRI
HYN,BUN|BBD|RIB|ROS|LEC
NWL,CHA|RUS|LIF|STS|ERE|LEC|SDE|NTT|NWA|DBY|HIN|LIN|WAR
ELI,BOT|NEL|WLI|NFK|LIN|NKE
GRY,BRO|NFK|ESK|NNO|SNO
SNO,BRE|BRO|NFK|MSU|ESK|SFK|NOW|GRY
KIN,ECA|BRE|FEN|CAM|NFK|SHO|NNO|WSK|LIN
SCE,NYK|RCC|RYE|HAE|NTT|ERY
SEL,WKF|DNC|YOR|NYK|LDS|HAG|ERY
RIH,DUR|CMA|CRA|EDN|NYK|SLA|DAL|HAE|HAG
HAG,SEL|CRA|YOR|NYK|LDS|RIH|BRD|HAE
RYE,NYK|YOR|ERY|HAE|NTT|SCE
HAE,YOR|RCC|MDB|STT|RYE|NYK|NTT|RIH|DAL|HAG|SCE
RUS,MEL|CHA|ERE|BRT|LEC|NEA|GED|DBY|LIN|NTT|NWL|NGM
CHR,VAL|WNT|STR|BUC|SOX|OXO|WOX|OXF|WAR
SWT,MDE|EDE|NDE|SSO|DEV|SEG|SOM
SSO,EDE|WIL|DEV|SWT|MEN|DST|SEG|SOM
SEG,SSO|NSM|SWT|MEN|SOM
STF,STE|STS|DBY|EST|DEB|NEC|SFK|HIG|CHE|STA
SST,WYE|SHR|DUD|CAN|STS|BRM|WLL|WLV|WOR|TFW|STA
LIF,TAW|CAN|STS|BIR|WLL|EST|SFK|SDE|NWA|DBY|LIN|NWL|STA|WAR
NEC,STE|SHR|STS|SFK|CHE|STF|STA
STA,STE|SST|CAN|SHR|LIF|STS|EST|NEC|SFK|TFW|STF
EST,LIF|STS|DEB|SFK|SDE|DBY|STF|STA
TAW,LIF|STS|NWA|WAR
ESK,IPS|BAB|NFK|MSU|SFK|GRY|SNO
BAB,COL|TEN|MSU|ESK|SFK|WSK|GLS|BRA|IPS
WSK,ECA|BRE|BAB|CAM|NFK|MSU|SFK|KIN|SCA|BRA|GLS
TAN,BRY|CRY|REI|KEN|SEV|WEA|MSS|ESX|WAR|WSX|CRW
SPE,RUN|WNM|RIC|SRY|SLG|ELM|HNS|HIL
NWA,HIN|TAW|LIF|STS|BIR|LEC|NUN|SOL|COV|LIN|NWL|WAR
WAW,STR|SOL|COV|RUG|WAR
STR,WNT|WAW|COT|BRM|RED|CHR|WOR|OXF|SOL|WYC|WOX|RUG|GLS|WAR
ARU,HOR|ADU|WOT|CHI|WOR|WSX
ADU,HOR|WOT|ARU|WOR|BNH|WSX
CHI,HOR|HAA|ARU|EHA|WAE|HAM|WSX|WAR
HOR,MOL|ADU|MSS|ARU|CHI|WOR|BNH|WAE|WAR|WSX|CRW
WOT,WOR|ADU|ARU|WSX
KTT,STN|WND|MOL|MRT|EPS|RIC|SRY|GLA|ELM|WAR
CRY,BRY|STN|REI|LBH|MRT|GLA|TAN|WAR
BRY,KEN|CRY|BEX|SEV|LBH|GRE|GLA|TAN|LEW|SWK|WAR
HNS,RIC|HMF|SRY|EAL|SPE|GLA|HIL
